CH,R' U L U' R U L' U',"[R', U L U']"
CI,x' U2 L2 U R2 U' L2 U R2 U x,"x' U2 [L2, U R2 U'] U2 x"
CW,U2 L2 U R U' L2 U R' U,"U2 [L2, U R U'] U2"
CM,U' R' U L' U' R U L,"[U' R' U, L']"
CN,D' U' R' U L2 U' R U L2 D,"D' [U' R' U, L2] D"
CO,y' U' L2 U R U' L2 U R' y,"y' [U' L2 U, R] y"
CP,x' R U2 R' D R U2 R' D' x,"x' [R U2 R', D] x"
CQ,U' R' U L2 U' R U L2,"[U' R' U, L]"
CR,R2 U L U' R2 U L' U',"[R2, U L U']"
CS,y' U' L' U R U' L U R' y,"y' [U' L U, R] y"
CT,y' R' U L2 U' R U L2 U' y,"y' [R', U L2 U'] y"
CX,D R2 U L U' R2 U L' U' D',"D [R2, U L U'] D'"
CY,R U L U' R' U L' U',"[R, U L U']"
CZ,U L' U R2 U' L U R2 U2,"U [L', U R2 U'] U'"
,,
F,Alg,C ABA'B' C'
FA,r U R U' r' F R' F',"[L, F R F']"
FB,x' U' R F2 R' U R U' F2 U l',"x' U' R [F2, R' U R U'] R' U x"
FC,x' D R U' R' D' R U R' x,"x' [D, R U' R'] x"
FG,R' U2 R' D' R U2 R' D R2,"R' [U2, R' D' R] R"
FH,U' L' U R U' L U R',"[U' L' U, R]"
FI,y R2 D R' U2 R D' R' U2 R' y',"y R2 [D, R' U2 R] R2 y'"
FW,x' D2 R U' R' D2 R U R' x,"x' [D2, R U' R'] x"
FM,r' U' r U' R' U L' U' R U B L,"L' B' [L, U' R' U] B L"
FN,x' U' R U L2 U' R' U L2 x,"x' [U' R U, L2] x"
FO,L' D' R2 D L D' R2 D,"[L', D' R2 D]"
FP,x D L' U2 L D' L' U2 L x',"x [D, L' U2 L] x'"
FQ,D x' U' R U L2 U' R' U L2 x D',"D x' [U' R U, L2] x D'"
FR,D L' D' R2 D L D' R2,"[D L' D', R2]"
FS,R' U2 R' D' R U' R' D R U' R,"R' U [U, R' D' R] U' R"
FT,y R' U L U' R2 U L' U' R' y',"y R' [U L U', R2] R y'"
FX,D2 L' D' R2 D L D' R2 D',"D2 [L', D' R2 D] D2"
